Komponente,Erwartete Eingaben,Ausgabe-Typ
AgentInitializer,"llm: BaseLanguageModel, memory: BaseChatMemory, tools: Tool, agent: str, code: code, max_iterations: int","AgentExecutor, Callable"
CSVAgent,"llm: BaseLanguageModel, path: file, code: code",AgentExecutor
JsonAgent,"llm: BaseLanguageModel, toolkit: JsonToolkit, code: code",AgentExecutor
OpenAIConversationalAgent,"memory: BaseMemory, system_message: SystemMessagePromptTemplate, tools: Tool, code: code, max_token_limit: int, model_name: str, openai_api_base: str, openai_api_key: str, temperature: float",AgentExecutor
SQLAgent,"llm: BaseLanguageModel, code: code, database_uri: str, verbose: bool","AgentExecutor, Callable"
VectorStoreAgent,"llm: BaseLanguageModel, vector_store_toolkit: VectorStoreToolkit, code: code","AgentExecutor, Callable"
VectorStoreRouterAgent,"llm: BaseLanguageModel, vectorstoreroutertoolkit: VectorStoreRouterToolkit, code: code",Callable
ZeroShotAgent,"callback_manager: BaseCallbackManager, llm: BaseLanguageModel, output_parser: AgentOutputParser, tools: BaseTool, format_instructions: str, input_variables: str, prefix: str, suffix: str",
CombineDocsChain,"llm: BaseLanguageModel, chain_type: str",
ConversationalRetrievalChain,"callbacks: Callbacks, condense_question_llm: BaseLanguageModel, condense_question_prompt: BasePromptTemplate, llm: BaseLanguageModel, memory: BaseChatMemory, retriever: BaseRetriever, chain_type: str, combine_docs_chain_kwargs: dict, return_source_documents: bool, verbose: bool",
ConversationChain,"llm: BaseLanguageModel, memory: BaseMemory, code: code","Chain, Callable"
LLMCheckerChain,"llm: BaseLanguageModel, code: code","Chain, Callable"
LLMMathChain,"llm: BaseLanguageModel, llm_chain: LLMChain, memory: BaseMemory, code: code, input_key: str, output_key: str","LLMMathChain, Callable, Chain"
MidJourneyPromptChain,"llm: BaseLanguageModel, memory: BaseChatMemory",
PromptRunner,"llm: BaseLLM, prompt: PromptTemplate, code: code, inputs: dict",Document
RetrievalQA,"combine_documents_chain: BaseCombineDocumentsChain, memory: BaseMemory, retriever: BaseRetriever, code: code, input_key: str, output_key: str, return_source_documents: bool","BaseRetrievalQA, Callable"
SeriesCharacterChain,"llm: BaseLanguageModel, character: str, series: str",
SQLDatabaseChain,"db: SQLDatabase, llm: BaseLanguageModel, prompt: BasePromptTemplate, code: code","Chain, Callable, SQLDatabaseChain"
TimeTravelGuideChain,"llm: BaseLanguageModel, memory: BaseChatMemory",
CustomComponent,"param: Data, code: code",Data
AmazonBedrockEmbeddings,"code: code, credentials_profile_name: str, endpoint_url: str, model_id: str, region_name: str",Embeddings
